Sim Time (s),Speed (km/h),Acceleration (m/s²),Distance (m),Lap,Mode,Power (W),Energy Used (Wh),Drag (N),Rolling Resistance (N)
1.00,3.53,0.98,0.49,1,performance,196.05,0.00,0.10,33.35
2.00,7.06,0.98,1.96,1,performance,391.99,0.05,0.41,33.35
3.00,10.58,0.98,4.41,1,performance,587.55,0.16,0.93,33.35
4.00,14.09,0.97,7.83,1,performance,782.51,0.33,1.65,33.35
5.00,17.58,0.97,12.23,1,performance,976.63,0.54,2.57,33.35
6.00,21.05,0.97,17.60,1,performance,1169.66,0.82,3.69,33.35
7.00,24.50,0.96,23.93,1,performance,1361.37,1.14,4.99,33.35
8.00,27.93,0.95,31.21,1,performance,1551.55,1.52,6.49,33.35
9.00,31.32,0.94,39.44,1,performance,1739.97,1.95,8.16,33.35
10.00,34.68,0.93,48.60,1,performance,1926.43,2.43,10.00,33.35
11.00,33.76,-0.26,58.11,1,performance,0.00,2.43,9.48,33.35
12.00,37.09,0.92,67.95,1,performance,2060.32,2.95,11.44,33.35
13.00,36.14,-0.26,78.12,1,performance,0.00,2.95,10.86,33.35
14.00,35.20,-0.26,88.02,1,performance,0.00,2.95,10.31,33.35
15.00,34.28,-0.26,97.67,1,performance,0.00,2.95,9.77,33.35
16.00,33.36,-0.25,107.07,1,performance,0.00,2.95,9.26,33.35
17.00,36.70,0.93,116.80,1,performance,2038.66,3.47,11.20,33.35
18.00,35.75,-0.26,126.86,1,performance,0.00,3.47,10.63,33.35
19.00,34.82,-0.26,136.66,1,performance,0.00,3.47,10.09,33.35
20.00,33.90,-0.26,146.21,1,performance,0.00,3.47,9.56,33.35
21.00,37.23,0.92,156.09,1,performance,2068.20,3.99,11.53,33.35
22.00,36.28,-0.26,166.30,1,performance,0.00,3.99,10.95,33.35
23.00,35.34,-0.26,176.24,1,performance,0.00,3.99,10.39,33.35
24.00,34.41,-0.26,185.93,1,performance,0.00,3.99,9.85,33.35
25.00,33.50,-0.25,195.36,1,performance,0.00,3.99,9.33,33.35
26.00,36.83,0.93,205.13,1,performance,2046.06,4.51,11.28,33.35
27.00,35.88,-0.26,215.23,1,performance,0.00,4.51,10.71,33.35
28.00,34.95,-0.26,225.07,1,performance,0.00,4.51,10.16,33.35
29.00,34.03,-0.26,234.65,1,performance,0.00,4.51,9.63,33.35
30.00,37.35,0.92,244.56,1,performance,2075.24,5.03,11.61,33.35
31.00,36.40,-0.26,254.81,1,performance,0.00,5.03,11.02,33.35
32.00,35.46,-0.26,264.79,1,performance,0.00,5.03,10.46,33.35
33.00,34.53,-0.26,274.51,1,performance,0.00,5.03,9.92,33.35
34.00,33.62,-0.25,283.97,1,performance,0.00,5.03,9.40,33.35
35.00,36.95,0.92,293.78,1,performance,2052.67,5.55,11.36,33.35
36.00,36.00,-0.26,303.91,1,performance,0.00,5.55,10.78,33.35
37.00,35.07,-0.26,313.78,1,performance,0.00,5.55,10.23,33.35
38.00,34.14,-0.26,323.39,1,performance,0.00,5.55,9.70,33.35
39.00,37.47,0.92,333.34,1,performance,2081.52,6.08,11.68,33.35
40.00,36.51,-0.26,343.61,1,performance,0.00,6.08,11.09,33.35
41.00,35.57,-0.26,353.62,1,performance,0.00,6.08,10.53,33.35
42.00,34.64,-0.26,363.38,1,performance,0.00,6.08,9.98,33.35
43.00,33.73,-0.25,372.87,1,performance,0.00,6.08,9.46,33.35
44.00,37.05,0.92,382.70,1,performance,2058.57,6.60,11.42,33.35
45.00,36.11,-0.26,392.86,1,performance,0.00,6.60,10.84,33.35
46.00,35.17,-0.26,402.76,1,performance,0.00,6.60,10.29,33.35
47.00,34.25,-0.26,412.40,1,performance,0.00,6.60,9.76,33.35
48.00,33.33,-0.25,421.79,1,performance,0.00,6.60,9.24,33.35
49.00,36.67,0.93,431.51,1,performance,2037.02,7.11,11.18,33.35
50.00,35.72,-0.26,441.57,1,performance,0.00,7.11,10.61,33.35
51.00,34.79,-0.26,451.36,1,performance,0.00,7.11,10.07,33.35
52.00,33.87,-0.26,460.90,1,performance,0.00,7.11,9.54,33.35
53.00,37.20,0.92,470.77,1,performance,2066.64,7.64,11.51,33.35
54.00,36.25,-0.26,480.97,1,performance,0.00,7.64,10.93,33.35
55.00,35.31,-0.26,490.91,1,performance,0.00,7.64,10.37,33.35
56.00,34.39,-0.26,500.59,1,performance,0.00,7.64,9.83,33.35
57.00,33.47,-0.25,510.01,1,performance,0.00,7.64,9.32,33.35
58.00,36.80,0.93,519.77,1,performance,2044.60,8.15,11.27,33.35
59.00,35.86,-0.26,529.86,1,performance,0.00,8.15,10.70,33.35
60.00,34.93,-0.26,539.70,1,performance,0.00,8.15,10.15,33.35
61.00,34.00,-0.26,549.27,1,performance,0.00,8.15,9.62,33.35
62.00,37.33,0.92,559.18,1,performance,2073.84,8.68,11.59,33.35
63.00,36.38,-0.26,569.41,1,performance,0.00,8.68,11.01,33.35
64.00,35.44,-0.26,579.39,1,performance,0.00,8.68,10.45,33.35
65.00,34.51,-0.26,589.10,1,performance,0.00,8.68,9.91,33.35
